"ID_LOGEMENT","DATE_DEBUT","DATE_FIN"
363,"03/02/2020","05/02/2020"
364,"04/02/2020","06/02/2020"
365,"28/01/2020","30/01/2020"
366,"29/01/2020","31/01/2020"
380,"28/01/2020","30/01/2020"
381,"02/02/2020","04/02/2020"
382,"01/02/2020","03/02/2020"
383,"28/01/2020","30/01/2020"
384,"04/02/2020","06/02/2020"
385,"30/01/2020","01/02/2020"
387,"04/02/2020","06/02/2020"
395,"28/01/2020","30/01/2020"
396,"06/02/2020","08/02/2020"
397,"28/01/2020","30/01/2020"
398,"28/01/2020","30/01/2020"
400,"04/02/2020","06/02/2020"
401,"05/02/2020","07/02/2020"
403,"01/02/2020","03/02/2020"
404,"29/01/2020","31/01/2020"
405,"01/02/2020","03/02/2020"
406,"01/02/2020","03/02/2020"
407,"01/02/2020","03/02/2020"
434,"03/02/2020","05/02/2020"
435,"01/02/2020","03/02/2020"
436,"01/02/2020","03/02/2020"
437,"30/01/2020","01/02/2020"
438,"30/01/2020","01/02/2020"
439,"03/02/2020","05/02/2020"
440,"05/02/2020","07/02/2020"
441,"30/01/2020","01/02/2020"
445,"31/01/2020","02/02/2020"
446,"04/02/2020","06/02/2020"
447,"29/01/2020","31/01/2020"
448,"29/01/2020","31/01/2020"
449,"04/02/2020","06/02/2020"
454,"03/02/2020","05/02/2020"
456,"01/02/2020","03/02/2020"
468,"01/02/2020","03/02/2020"
469,"28/01/2020","30/01/2020"
470,"06/02/2020","08/02/2020"
471,"06/02/2020","08/02/2020"
472,"02/02/2020","04/02/2020"
473,"28/01/2020","30/01/2020"
474,"01/02/2020","03/02/2020"
482,"03/02/2020","05/02/2020"
483,"01/02/2020","03/02/2020"
484,"28/01/2020","30/01/2020"
485,"04/02/2020","06/02/2020"
490,"28/01/2020","30/01/2020"
491,"02/02/2020","04/02/2020"
508,"29/01/2020","31/01/2020"
510,"06/02/2020","08/02/2020"
511,"30/01/2020","01/02/2020"
512,"02/02/2020","04/02/2020"
530,"01/02/2020","03/02/2020"
531,"30/01/2020","01/02/2020"
532,"28/01/2020","30/01/2020"
533,"31/01/2020","02/02/2020"
534,"29/01/2020","31/01/2020"
535,"03/02/2020","05/02/2020"
536,"04/02/2020","06/02/2020"
537,"03/02/2020","05/02/2020"
549,"31/01/2020","02/02/2020"
550,"29/01/2020","31/01/2020"
551,"28/01/2020","30/01/2020"
552,"02/02/2020","04/02/2020"
553,"02/02/2020","04/02/2020"
554,"31/01/2020","02/02/2020"
555,"04/02/2020","06/02/2020"
571,"02/02/2020","04/02/2020"
572,"28/01/2020","30/01/2020"
573,"03/02/2020","05/02/2020"
574,"03/02/2020","05/02/2020"
575,"29/01/2020","31/01/2020"
577,"06/02/2020","08/02/2020"
578,"02/02/2020","04/02/2020"
586,"04/02/2020","06/02/2020"
591,"03/02/2020","05/02/2020"
592,"02/02/2020","04/02/2020"
593,"01/02/2020","03/02/2020"
594,"04/02/2020","06/02/2020"
602,"06/02/2020","08/02/2020"
607,"29/01/2020","31/01/2020"
608,"31/01/2020","02/02/2020"
610,"05/02/2020","07/02/2020"
611,"04/02/2020","06/02/2020"
612,"05/02/2020","07/02/2020"
619,"30/01/2020","01/02/2020"
620,"29/01/2020","31/01/2020"
624,"31/01/2020","02/02/2020"
625,"04/02/2020","06/02/2020"
626,"29/01/2020","31/01/2020"
650,"05/02/2020","07/02/2020"
651,"31/01/2020","02/02/2020"
652,"02/02/2020","04/02/2020"
653,"02/02/2020","04/02/2020"
660,"28/01/2020","30/01/2020"
661,"01/02/2020","03/02/2020"
665,"28/01/2020","30/01/2020"
666,"31/01/2020","02/02/2020"
667,"02/02/2020","04/02/2020"
668,"28/01/2020","30/01/2020"
669,"28/01/2020","30/01/2020"
670,"02/02/2020","04/02/2020"
671,"06/02/2020","08/02/2020"
672,"02/02/2020","04/02/2020"
692,"04/02/2020","06/02/2020"
693,"30/01/2020","01/02/2020"
694,"02/02/2020","04/02/2020"
728,"02/02/2020","04/02/2020"
731,"29/01/2020","31/01/2020"
732,"30/01/2020","01/02/2020"
733,"02/02/2020","04/02/2020"
734,"29/01/2020","31/01/2020"
735,"02/02/2020","04/02/2020"
736,"01/02/2020","03/02/2020"
742,"30/01/2020","01/02/2020"
743,"05/02/2020","07/02/2020"
744,"04/02/2020","06/02/2020"
745,"05/02/2020","07/02/2020"
746,"02/02/2020","04/02/2020"
747,"28/01/2020","30/01/2020"
756,"04/02/2020","06/02/2020"
757,"28/01/2020","30/01/2020"
765,"31/01/2020","02/02/2020"
766,"29/01/2020","31/01/2020"
767,"03/02/2020","05/02/2020"
768,"30/01/2020","01/02/2020"
769,"05/02/2020","07/02/2020"
770,"29/01/2020","31/01/2020"
781,"05/02/2020","07/02/2020"
782,"01/02/2020","03/02/2020"
783,"29/01/2020","31/01/2020"
784,"03/02/2020","05/02/2020"
785,"02/02/2020","04/02/2020"
795,"02/02/2020","04/02/2020"
796,"02/02/2020","04/02/2020"
800,"01/02/2020","03/02/2020"
801,"04/02/2020","06/02/2020"
807,"06/02/2020","08/02/2020"
808,"06/02/2020","08/02/2020"
809,"30/01/2020","01/02/2020"
810,"01/02/2020","03/02/2020"
811,"02/02/2020","04/02/2020"
812,"30/01/2020","01/02/2020"
813,"04/02/2020","06/02/2020"
814,"31/01/2020","02/02/2020"
836,"28/01/2020","30/01/2020"
837,"28/01/2020","30/01/2020"
838,"28/01/2020","30/01/2020"
839,"06/02/2020","08/02/2020"
857,"30/01/2020","01/02/2020"
858,"29/01/2020","31/01/2020"
859,"01/02/2020","03/02/2020"
860,"29/01/2020","31/01/2020"
870,"29/01/2020","31/01/2020"
881,"05/02/2020","07/02/2020"
882,"05/02/2020","07/02/2020"
884,"05/02/2020","07/02/2020"
885,"03/02/2020","05/02/2020"
886,"03/02/2020","05/02/2020"
887,"06/02/2020","08/02/2020"
888,"04/02/2020","06/02/2020"
889,"29/01/2020","31/01/2020"
890,"28/01/2020","30/01/2020"
892,"30/01/2020","01/02/2020"
893,"31/01/2020","02/02/2020"
917,"30/01/2020","01/02/2020"
918,"04/02/2020","06/02/2020"
919,"02/02/2020","04/02/2020"
920,"01/02/2020","03/02/2020"
921,"03/02/2020","05/02/2020"
925,"28/01/2020","30/01/2020"
929,"29/01/2020","31/01/2020"
930,"02/02/2020","04/02/2020"
931,"05/02/2020","07/02/2020"
957,"05/02/2020","07/02/2020"
958,"01/02/2020","03/02/2020"
959,"01/02/2020","03/02/2020"
960,"06/02/2020","08/02/2020"
961,"28/01/2020","30/01/2020"
962,"28/01/2020","30/01/2020"
963,"02/02/2020","04/02/2020"
980,"06/02/2020","08/02/2020"
981,"31/01/2020","02/02/2020"
982,"04/02/2020","06/02/2020"
983,"03/02/2020","05/02/2020"
984,"05/02/2020","07/02/2020"
985,"06/02/2020","08/02/2020"
987,"31/01/2020","02/02/2020"
988,"03/02/2020","05/02/2020"
997,"03/02/2020","05/02/2020"
998,"28/01/2020","30/01/2020"
999,"29/01/2020","31/01/2020"
1000,"04/02/2020","06/02/2020"
1001,"02/02/2020","04/02/2020"
1002,"04/02/2020","06/02/2020"
1003,"05/02/2020","07/02/2020"
1004,"01/02/2020","03/02/2020"
1008,"06/02/2020","08/02/2020"
1042,"03/02/2020","05/02/2020"
1043,"05/02/2020","07/02/2020"
1046,"04/02/2020","06/02/2020"
1047,"28/01/2020","30/01/2020"
1048,"02/02/2020","04/02/2020"
1068,"01/02/2020","03/02/2020"
1069,"05/02/2020","07/02/2020"
1070,"04/02/2020","06/02/2020"
1071,"29/01/2020","31/01/2020"
1072,"02/02/2020","04/02/2020"
1073,"31/01/2020","02/02/2020"
1074,"03/02/2020","05/02/2020"
1081,"29/01/2020","31/01/2020"
1082,"29/01/2020","31/01/2020"
1083,"02/02/2020","04/02/2020"
1084,"01/02/2020","03/02/2020"
1085,"02/02/2020","04/02/2020"
1086,"05/02/2020","07/02/2020"
1087,"29/01/2020","31/01/2020"
1097,"30/01/2020","01/02/2020"
1098,"31/01/2020","02/02/2020"
1101,"31/01/2020","02/02/2020"
1113,"05/02/2020","07/02/2020"
1114,"28/01/2020","30/01/2020"
1115,"06/02/2020","08/02/2020"
1116,"05/02/2020","07/02/2020"
1117,"05/02/2020","07/02/2020"
1118,"01/02/2020","03/02/2020"
1119,"05/02/2020","07/02/2020"
1120,"01/02/2020","03/02/2020"
1134,"29/01/2020","31/01/2020"
1135,"31/01/2020","02/02/2020"
1136,"02/02/2020","04/02/2020"
1137,"29/01/2020","31/01/2020"
1138,"04/02/2020","06/02/2020"
1139,"03/02/2020","05/02/2020"
1156,"30/01/2020","01/02/2020"
1157,"29/01/2020","31/01/2020"
1158,"05/02/2020","07/02/2020"
1169,"02/02/2020","04/02/2020"
1170,"29/01/2020","31/01/2020"
1171,"06/02/2020","08/02/2020"
1172,"31/01/2020","02/02/2020"
1173,"06/02/2020","08/02/2020"
1178,"30/01/2020","01/02/2020"
1181,"30/01/2020","01/02/2020"
1182,"06/02/2020","08/02/2020"
1183,"31/01/2020","02/02/2020"
1184,"29/01/2020","31/01/2020"
1185,"01/02/2020","03/02/2020"
1186,"30/01/2020","01/02/2020"
1187,"06/02/2020","08/02/2020"
1188,"31/01/2020","02/02/2020"
1189,"29/01/2020","31/01/2020"
1190,"06/02/2020","08/02/2020"
1191,"29/01/2020","31/01/2020"
1206,"28/01/2020","30/01/2020"
1207,"31/01/2020","02/02/2020"
1208,"31/01/2020","02/02/2020"
1209,"30/01/2020","01/02/2020"
1210,"03/02/2020","05/02/2020"
1211,"06/02/2020","08/02/2020"
1220,"02/02/2020","04/02/2020"
1221,"29/01/2020","31/01/2020"
1222,"30/01/2020","01/02/2020"
1223,"28/01/2020","30/01/2020"
1225,"28/01/2020","30/01/2020"
1227,"29/01/2020","31/01/2020"
1246,"01/02/2020","03/02/2020"
1247,"28/01/2020","30/01/2020"
1248,"31/01/2020","02/02/2020"
1249,"05/02/2020","07/02/2020"
1250,"04/02/2020","06/02/2020"
1251,"28/01/2020","30/01/2020"
1252,"01/02/2020","03/02/2020"
1253,"01/02/2020","03/02/2020"
1257,"05/02/2020","07/02/2020"
1258,"05/02/2020","07/02/2020"
1276,"28/01/2020","30/01/2020"
1277,"05/02/2020","07/02/2020"
1278,"31/01/2020","02/02/2020"
1279,"03/02/2020","05/02/2020"
1300,"28/01/2020","30/01/2020"
1304,"31/01/2020","02/02/2020"
1305,"29/01/2020","31/01/2020"
1306,"31/01/2020","02/02/2020"
1307,"05/02/2020","07/02/2020"
1312,"30/01/2020","01/02/2020"
1313,"02/02/2020","04/02/2020"
1314,"05/02/2020","07/02/2020"
1315,"04/02/2020","06/02/2020"
1316,"04/02/2020","06/02/2020"
1317,"02/02/2020","04/02/2020"
1318,"06/02/2020","08/02/2020"
1336,"31/01/2020","02/02/2020"
1337,"02/02/2020","04/02/2020"
1338,"06/02/2020","08/02/2020"
1339,"04/02/2020","06/02/2020"
1340,"04/02/2020","06/02/2020"
1370,"31/01/2020","02/02/2020"
1371,"30/01/2020","01/02/2020"
1375,"06/02/2020","08/02/2020"
1376,"30/01/2020","01/02/2020"
1377,"04/02/2020","06/02/2020"
1378,"03/02/2020","05/02/2020"
1379,"01/02/2020","03/02/2020"
1380,"01/02/2020","03/02/2020"
1381,"31/01/2020","02/02/2020"
1392,"06/02/2020","08/02/2020"
1393,"01/02/2020","03/02/2020"
1394,"04/02/2020","06/02/2020"
1395,"30/01/2020","01/02/2020"
1396,"28/01/2020","30/01/2020"
1397,"28/01/2020","30/01/2020"
1402,"04/02/2020","06/02/2020"
1403,"05/02/2020","07/02/2020"
1410,"28/01/2020","30/01/2020"
1419,"28/01/2020","30/01/2020"
1422,"06/02/2020","08/02/2020"
1423,"30/01/2020","01/02/2020"
1432,"31/01/2020","02/02/2020"
1433,"05/02/2020","07/02/2020"
1434,"06/02/2020","08/02/2020"
1435,"29/01/2020","31/01/2020"
1436,"31/01/2020","02/02/2020"
1443,"05/02/2020","07/02/2020"
1458,"29/01/2020","31/01/2020"
1459,"03/02/2020","05/02/2020"
1460,"06/02/2020","08/02/2020"
1461,"30/01/2020","01/02/2020"
1462,"04/02/2020","06/02/2020"
1463,"29/01/2020","31/01/2020"
1464,"05/02/2020","07/02/2020"
1467,"03/02/2020","05/02/2020"
1468,"03/02/2020","05/02/2020"
1488,"01/02/2020","03/02/2020"
1489,"31/01/2020","02/02/2020"
1490,"28/01/2020","30/01/2020"
1491,"06/02/2020","08/02/2020"
1492,"05/02/2020","07/02/2020"
1493,"04/02/2020","06/02/2020"
1494,"04/02/2020","06/02/2020"
1495,"06/02/2020","08/02/2020"
1507,"30/01/2020","01/02/2020"
1508,"29/01/2020","31/01/2020"
1509,"03/02/2020","05/02/2020"
1510,"30/01/2020","01/02/2020"
1511,"28/01/2020","30/01/2020"
1512,"31/01/2020","02/02/2020"
1517,"02/02/2020","04/02/2020"
1526,"29/01/2020","31/01/2020"
1527,"06/02/2020","08/02/2020"
1528,"03/02/2020","05/02/2020"
1532,"28/01/2020","30/01/2020"
1533,"01/02/2020","03/02/2020"
1534,"03/02/2020","05/02/2020"
1535,"05/02/2020","07/02/2020"
1538,"06/02/2020","08/02/2020"
1539,"01/02/2020","03/02/2020"
1540,"05/02/2020","07/02/2020"
1542,"28/01/2020","30/01/2020"
1567,"31/01/2020","02/02/2020"
1568,"06/02/2020","08/02/2020"
1569,"30/01/2020","01/02/2020"
1574,"02/02/2020","04/02/2020"
1575,"31/01/2020","02/02/2020"
1576,"30/01/2020","01/02/2020"
1580,"04/02/2020","06/02/2020"
1583,"04/02/2020","06/02/2020"
1584,"02/02/2020","04/02/2020"
1585,"05/02/2020","07/02/2020"
1586,"06/02/2020","08/02/2020"
1603,"01/02/2020","03/02/2020"
1604,"01/02/2020","03/02/2020"
1605,"05/02/2020","07/02/2020"
1606,"04/02/2020","06/02/2020"
1607,"31/01/2020","02/02/2020"
1608,"31/01/2020","02/02/2020"
1609,"29/01/2020","31/01/2020"
1610,"29/01/2020","31/01/2020"
1611,"06/02/2020","08/02/2020"
1621,"31/01/2020","02/02/2020"
1622,"06/02/2020","08/02/2020"
1623,"02/02/2020","04/02/2020"
1624,"28/01/2020","30/01/2020"
1625,"04/02/2020","06/02/2020"
1626,"05/02/2020","07/02/2020"
1627,"28/01/2020","30/01/2020"
1628,"02/02/2020","04/02/2020"
1635,"30/01/2020","01/02/2020"
1636,"01/02/2020","03/02/2020"
1637,"31/01/2020","02/02/2020"
1638,"03/02/2020","05/02/2020"
1639,"30/01/2020","01/02/2020"
1640,"03/02/2020","05/02/2020"
1662,"30/01/2020","01/02/2020"
1663,"31/01/2020","02/02/2020"
1664,"01/02/2020","03/02/2020"
1665,"02/02/2020","04/02/2020"
1688,"05/02/2020","07/02/2020"
1698,"05/02/2020","07/02/2020"
1699,"05/02/2020","07/02/2020"
1700,"06/02/2020","08/02/2020"
1701,"03/02/2020","05/02/2020"
1707,"29/01/2020","31/01/2020"
1708,"29/01/2020","31/01/2020"
1709,"06/02/2020","08/02/2020"
1710,"05/02/2020","07/02/2020"
1729,"01/02/2020","03/02/2020"
1730,"02/02/2020","04/02/2020"
1731,"05/02/2020","07/02/2020"
1732,"02/02/2020","04/02/2020"
1733,"06/02/2020","08/02/2020"
1734,"06/02/2020","08/02/2020"
1735,"04/02/2020","06/02/2020"
1752,"02/02/2020","04/02/2020"
1753,"06/02/2020","08/02/2020"
1754,"02/02/2020","04/02/2020"
1755,"03/02/2020","05/02/2020"
1756,"05/02/2020","07/02/2020"
1757,"28/01/2020","30/01/2020"
1758,"30/01/2020","01/02/2020"
1770,"30/01/2020","01/02/2020"
1771,"01/02/2020","03/02/2020"
1772,"01/02/2020","03/02/2020"
1792,"31/01/2020","02/02/2020"
1793,"01/02/2020","03/02/2020"
1794,"01/02/2020","03/02/2020"
1795,"30/01/2020","01/02/2020"
1796,"30/01/2020","01/02/2020"
1797,"05/02/2020","07/02/2020"
1798,"31/01/2020","02/02/2020"
1799,"04/02/2020","06/02/2020"
1803,"28/01/2020","30/01/2020"
1804,"29/01/2020","31/01/2020"
1807,"03/02/2020","05/02/2020"
1811,"29/01/2020","31/01/2020"
1812,"30/01/2020","01/02/2020"
1813,"03/02/2020","05/02/2020"
1814,"06/02/2020","08/02/2020"
1825,"30/01/2020","01/02/2020"
1826,"05/02/2020","07/02/2020"
1827,"02/02/2020","04/02/2020"
1828,"31/01/2020","02/02/2020"
1829,"02/02/2020","04/02/2020"
1830,"04/02/2020","06/02/2020"
1836,"05/02/2020","07/02/2020"
1837,"06/02/2020","08/02/2020"
1840,"06/02/2020","08/02/2020"
1841,"06/02/2020","08/02/2020"
1842,"06/02/2020","08/02/2020"
1844,"03/02/2020","05/02/2020"
1845,"04/02/2020","06/02/2020"
1846,"02/02/2020","04/02/2020"
1847,"28/01/2020","30/01/2020"
1848,"03/02/2020","05/02/2020"
1869,"04/02/2020","06/02/2020"
1870,"30/01/2020","01/02/2020"
1871,"05/02/2020","07/02/2020"
1872,"05/02/2020","07/02/2020"
1874,"28/01/2020","30/01/2020"
1889,"28/01/2020","30/01/2020"
1890,"29/01/2020","31/01/2020"
1896,"29/01/2020","31/01/2020"
1897,"28/01/2020","30/01/2020"
1899,"02/02/2020","04/02/2020"
1900,"29/01/2020","31/01/2020"
1901,"06/02/2020","08/02/2020"
1902,"29/01/2020","31/01/2020"
1903,"04/02/2020","06/02/2020"
1904,"01/02/2020","03/02/2020"
1905,"02/02/2020","04/02/2020"
1906,"04/02/2020","06/02/2020"
1907,"06/02/2020","08/02/2020"
1908,"28/01/2020","30/01/2020"
1909,"28/01/2020","30/01/2020"
1910,"06/02/2020","08/02/2020"
1911,"31/01/2020","02/02/2020"
1924,"02/02/2020","04/02/2020"
1925,"04/02/2020","06/02/2020"
1926,"31/01/2020","02/02/2020"
1927,"03/02/2020","05/02/2020"
1929,"04/02/2020","06/02/2020"
1930,"28/01/2020","30/01/2020"
1931,"28/01/2020","30/01/2020"
1932,"29/01/2020","31/01/2020"
1933,"05/02/2020","07/02/2020"
1934,"02/02/2020","04/02/2020"
1954,"28/01/2020","30/01/2020"
1955,"04/02/2020","06/02/2020"
1956,"03/02/2020","05/02/2020"
1958,"29/01/2020","31/01/2020"
1959,"28/01/2020","30/01/2020"
1960,"30/01/2020","01/02/2020"
1968,"29/01/2020","31/01/2020"
1970,"06/02/2020","08/02/2020"
1971,"29/01/2020","31/01/2020"
1972,"31/01/2020","02/02/2020"
1973,"28/01/2020","30/01/2020"
1974,"02/02/2020","04/02/2020"
1985,"30/01/2020","01/02/2020"
1986,"28/01/2020","30/01/2020"
1987,"01/02/2020","03/02/2020"
1988,"04/02/2020","06/02/2020"
1989,"04/02/2020","06/02/2020"
1990,"30/01/2020","01/02/2020"
1991,"05/02/2020","07/02/2020"
1992,"02/02/2020","04/02/2020"
1993,"02/02/2020","04/02/2020"
2003,"05/02/2020","07/02/2020"
2004,"31/01/2020","02/02/2020"
2006,"05/02/2020","07/02/2020"
2007,"02/02/2020","04/02/2020"
2016,"05/02/2020","07/02/2020"
2017,"03/02/2020","05/02/2020"
2018,"06/02/2020","08/02/2020"
2019,"04/02/2020","06/02/2020"
2023,"31/01/2020","02/02/2020"
2025,"06/02/2020","08/02/2020"
2026,"30/01/2020","01/02/2020"
2027,"29/01/2020","31/01/2020"
2036,"28/01/2020","30/01/2020"
2037,"29/01/2020","31/01/2020"
2038,"04/02/2020","06/02/2020"
2039,"02/02/2020","04/02/2020"
2056,"03/02/2020","05/02/2020"
2057,"28/01/2020","30/01/2020"
2058,"31/01/2020","02/02/2020"
2059,"30/01/2020","01/02/2020"
2060,"05/02/2020","07/02/2020"
2062,"30/01/2020","01/02/2020"
2063,"06/02/2020","08/02/2020"
2064,"03/02/2020","05/02/2020"
2065,"05/02/2020","07/02/2020"
2066,"28/01/2020","30/01/2020"
2075,"01/02/2020","03/02/2020"
2076,"04/02/2020","06/02/2020"
2077,"29/01/2020","31/01/2020"
2078,"29/01/2020","31/01/2020"
2079,"04/02/2020","06/02/2020"
2080,"30/01/2020","01/02/2020"
2081,"28/01/2020","30/01/2020"
2082,"28/01/2020","30/01/2020"
2092,"29/01/2020","31/01/2020"
2099,"04/02/2020","06/02/2020"
2107,"31/01/2020","02/02/2020"
2108,"01/02/2020","03/02/2020"
2113,"28/01/2020","30/01/2020"
2114,"28/01/2020","30/01/2020"
2115,"02/02/2020","04/02/2020"
2116,"29/01/2020","31/01/2020"
2117,"04/02/2020","06/02/2020"
2118,"01/02/2020","03/02/2020"
2119,"28/01/2020","30/01/2020"
2120,"31/01/2020","02/02/2020"
2135,"02/02/2020","04/02/2020"
2136,"03/02/2020","05/02/2020"
2137,"03/02/2020","05/02/2020"
2151,"01/02/2020","03/02/2020"
2152,"31/01/2020","02/02/2020"
2153,"04/02/2020","06/02/2020"
2157,"04/02/2020","06/02/2020"
2158,"06/02/2020","08/02/2020"
2159,"05/02/2020","07/02/2020"
2160,"05/02/2020","07/02/2020"
2161,"06/02/2020","08/02/2020"
2162,"29/01/2020","31/01/2020"
2163,"02/02/2020","04/02/2020"
2164,"04/02/2020","06/02/2020"
2165,"29/01/2020","31/01/2020"
2166,"06/02/2020","08/02/2020"
2167,"28/01/2020","30/01/2020"
2168,"01/02/2020","03/02/2020"
2193,"02/02/2020","04/02/2020"
2194,"02/02/2020","04/02/2020"
2195,"01/02/2020","03/02/2020"
2196,"04/02/2020","06/02/2020"
2197,"05/02/2020","07/02/2020"
2198,"29/01/2020","31/01/2020"
2199,"01/02/2020","03/02/2020"
2200,"29/01/2020","31/01/2020"
2201,"29/01/2020","31/01/2020"
2218,"05/02/2020","07/02/2020"
2219,"06/02/2020","08/02/2020"
2220,"02/02/2020","04/02/2020"
2221,"05/02/2020","07/02/2020"
2222,"06/02/2020","08/02/2020"
2223,"06/02/2020","08/02/2020"
2225,"31/01/2020","02/02/2020"
2237,"05/02/2020","07/02/2020"
2238,"01/02/2020","03/02/2020"
2239,"02/02/2020","04/02/2020"
2240,"05/02/2020","07/02/2020"
2241,"30/01/2020","01/02/2020"
2248,"04/02/2020","06/02/2020"
2249,"29/01/2020","31/01/2020"
2278,"01/02/2020","03/02/2020"
2279,"05/02/2020","07/02/2020"
2280,"03/02/2020","05/02/2020"
2281,"06/02/2020","08/02/2020"
2282,"06/02/2020","08/02/2020"
2283,"05/02/2020","07/02/2020"
2284,"28/01/2020","30/01/2020"
2285,"04/02/2020","06/02/2020"
2287,"04/02/2020","06/02/2020"
2290,"28/01/2020","30/01/2020"
2293,"28/01/2020","30/01/2020"
2307,"28/01/2020","30/01/2020"
2308,"30/01/2020","01/02/2020"
2309,"30/01/2020","01/02/2020"
2317,"28/01/2020","30/01/2020"
2318,"02/02/2020","04/02/2020"
2319,"05/02/2020","07/02/2020"
2326,"06/02/2020","08/02/2020"
2327,"28/01/2020","30/01/2020"
2329,"01/02/2020","03/02/2020"
2346,"29/01/2020","31/01/2020"
2347,"06/02/2020","08/02/2020"
2349,"04/02/2020","06/02/2020"
2351,"03/02/2020","05/02/2020"
2377,"31/01/2020","02/02/2020"
2378,"28/01/2020","30/01/2020"
2379,"28/01/2020","30/01/2020"
2380,"04/02/2020","06/02/2020"
2381,"30/01/2020","01/02/2020"
2382,"04/02/2020","06/02/2020"
2383,"05/02/2020","07/02/2020"
2384,"06/02/2020","08/02/2020"
2385,"28/01/2020","30/01/2020"
2386,"04/02/2020","06/02/2020"
2401,"29/01/2020","31/01/2020"
2402,"04/02/2020","06/02/2020"
2403,"05/02/2020","07/02/2020"
2404,"31/01/2020","02/02/2020"
2405,"30/01/2020","01/02/2020"
2406,"30/01/2020","01/02/2020"
2407,"02/02/2020","04/02/2020"
2423,"28/01/2020","30/01/2020"
2424,"06/02/2020","08/02/2020"
2426,"31/01/2020","02/02/2020"
