"ID_HEBERGEMENT","LATITUDE","LONGITUDE","ID_USER","TYPE","NOMBRE_ETOILE","NOM","ADRESSE","EMAIL","SITE_WEB","TELEPHONE","NOTE_GLOBAL","DATE_CREATION","STATUT"
42,42.459497,2.039186,2,"HÔTEL",3,"CHEZ PLANES","6 PLACE DE CERDAGNE","hotelplanes@wanadoo.fr","www.planotel.fr","468047208",36,"23/11/2012","Actif"
43,43.89864,0.37792,2,"HÔTEL",3,"HÔTEL LA FERME DE FLARAN","la bagatelle, Route de Condom","reception@fermedeflaran.com","http://fermedeflaran.com","33562293983",11,"22/07/2015","Actif"
44,43.732794,7.106092,2,"HÔTEL",5,"CHÂTEAU SAINT-MARTIN & SPA","2490 Avenue des Templiers","reservation@chateau-st-martin.com","http://www.chateau-st-martin.com","493580202",31,"24/09/2014","Actif"
45,46.320355,2.960729,2,"HÔTEL",3,"CENTROTEL","26 route de Moulins","centrotel03@orange.fr","http://www.centrotel.fr","470026250",45,"30/09/2013","Actif"
46,43.324108,-1.481312,2,"HÔTEL",4,"HÔTEL LA MAISON OPPOCA","LE BOURG","chantal.massonde@orange.fr","http://www.oppoca.com","559299072",86,"22/07/2015","Actif"
47,46.34212,-1.439592,2,"CAMPING",2,"CAMPING LE VIEUX MOULIN","rue Maurice Samson","accueil@campinglevieuxmoulin.fr","www.campinglevieuxmoulin.fr","251289348",7,"09/06/2017","Actif"
48,44.928128,1.028167,2,"CAMPING",3,"CAMPING LE MAS","le mas de sireuil","dirmas@tohapi.fr","https://www.tohapi.fr/aquitaine/camping-le-mas.php","553296806",15,"05/12/2017","Actif"
49,50.273554,2.949359,2,"CAMPING",2,"LA PAILLE HAUTE","145 rue de sailly","lapaillehaute@wanadoo.fr","http://la-paille-haute.com","321481540",80,"10/08/2012","Actif"
50,44.957537,-1.133068,2,"CAMPING",3,"CAMPING LE TEDEY","route de longarisse","camping@le-tedey.com","http://www.le-tedey.com","556030015",32,"28/06/2016","Actif"
51,50.316255,3.83851,2,"CAMPING",3,"CAMPING LES NÉNUPHARS","10 RUE GILLES BEAURIEUX","campinglesnenuphars@orange.fr","www.campinglesnenuphars.com","327394093",82,"10/08/2012","Actif"
52,42.590606,1.802734,2,"CAMPING",1,"CAMPING LA PORTE DES CIMES","Route Nationale 20","contact@camping-hospitalet.fr","http://www.camping-hospitalet.fr/","561052110",13,"09/08/2017","Actif"
53,43.451864,6.833571,2,"CAMPING",5,"CAMPING ESTEREL CARAVANING","4481 Avenue des Golfs","contact@esterel-caravaning.fr","http://www.esterel-caravaning.fr","494820328",73,"13/07/2016","Actif"
54,43.430112,3.759312,2,"CAMPING",2,"CAMPING LA LAGUNE","10 Avenue des Vacances","contact@camping-la-lagune.com","www.camping-la-lagune.com","499040430",66,"05/11/2017","Actif"
55,45.67797,-0.176479,2,"CAMPING",3,"CAMPING DE L'ÎLE MADAME","Quai île Madame","campingilemadame@orange.fr","http://camping-jarnac.jimdo.com/","06.26.91.40.92",3,"10/01/2015","Actif"
56,48.315259,-4.547048,2,"CAMPING",1,"CAMPING MUNICIPAL DE KERVIAN","RUE DE LA MAIRIE","mairie@roscanvel.fr","http://www.roscanvel.fr","298274851",92,"16/09/2013","Actif"
57,46.446257,-1.626811,2,"CAMPING",2,"CAMPING LES DUNES","539 Rue du Mazeau Le port de la Guittiére","campinglesdunes@wanadoo.fr","http://lesdunescamping.fr","251906304",41,"23/05/2017","Actif"
58,45.432583,-0.751932,2,"CAMPING",2,"CAMPING PORT MAUBERT","8 rue de chassillac","bourdieu.jean-luc@wanadoo.fr","http://www.campingportmaubert.com","546047886",76,"05/04/2017","Actif"
59,43.79435,4.805899,2,"CAMPING",1,"CAMPING GCU SAINT-RÉMY-DE-PROVENCE","ROUTE DE TARASCON AVENUE GLEYSES","stremy1301@gcuf.fr","http://www.gcu.asso.fr/terrains/saint-r%C3%A9my-de-provence-bouches-du-rh%C3%B4ne-13","147639863",57,"28/06/2017","Actif"
60,46.672911,-1.894216,2,"CAMPING",5,"DOMAINE LES DAUPHINS BLEUS","16 rue du rocher","dauphins-bleus@franceloc.fr","https://www.franceloc.fr/camping-france-pays_de_la_loire-dauphins_bleus-FR.html?referer=23214","251555934",42,"28/04/2016","Actif"
61,48.17182,0.957785,2,"CAMPING",2,"CAMPING MUNICIPAL LA RIVIÈRE","LA RIVIèRE","commune-bazoche-gouet-28330@wanadoo.fr","-","237493649",6,"11/11/2016","Actif"
62,48.627678,-2.130343,2,"CAMPING",5,"CAMPING ÉMERAUDE","7 CHEMIN DE LA SOURIS","info@seagreen-campingemeraude.com","http://www.campingemeraude.com","299883455",29,"08/04/2016","Actif"
63,49.529883,0.500141,2,"CAMPING",1,"CAMPING DES FORGES","HAMEAU DES FORGES","mondeamical@hotmail.fr","-","607440308",70,"06/05/2013","Actif"
64,43.182793,5.666507,2,"HÔTEL",3,"HÔTEL CORNICHE DU LIOUQUET","corniche du liouquet","contact@hotel-corniche-ciotat.com","http://www.hotel-corniche-ciotat.com/","442832882",59,"28/04/2015","Actif"
65,47.007323,4.798882,2,"HÔTEL",2,"HÔTEL DU PONT","Rue Marey Monge","hoteldupont@wanadoo.fr","http://www.hotelrestaurantdupont.fr/","03 80 22 03 41",98,"18/02/2015","Actif"
66,47.953819,-4.35949,2,"HÔTEL",2,"LE CAPRICORNE","15 rue de Pont L'Abbé","hotel.le.capricorne@orange.fr","http://www.hotel-lecapricorne.com/","298544006",98,"06/03/2013","Actif"
67,43.547782,7.03059,2,"HÔTEL",5,"GRAND HYATT CANNES HÔTEL MARTINEZ","73 Boulevard de la Croisette","cannesmartinez.grand@hyatt.com","cannesmartinez.grand.hyatt.com","493901234",50,"24/12/2014","Actif"
68,44.243703,6.627422,2,"HÔTEL",2,"HÔTEL RESTAURANT LE SÈSTRIÈRE","Route du Col d'Allos","info@lesestriere.com","http://www.lesestriere.com/","04 92 83 81 70",79,"28/10/2015","Actif"
69,43.272298,6.583644,2,"HÔTEL",4,"HÔTEL GIRAGLIA","Place du 14 Juin","sales@alpazurhotels.com","http://www.hotelgiraglia.com","494563133",53,"15/09/2017","Actif"
70,50.121725,4.792706,2,"HÔTEL",1,"AUBERGE DE LA VOÛTE","lieu-dit les trois fontaines","lavoute@chooz.com","-","03.24.42.72.48",98,"29/10/2012","Actif"
71,45.852572,6.205341,2,"HÔTEL",2,"HÔTEL ROC DE CHÈRE","235 route d'Annecy","roc@rocdechere.com","http://www.rocdechere.com","450601915",87,"10/07/2013","Actif"
72,46.5142,0.292841,2,"HÔTEL",3,"BEST WESTERN HÔTEL LE BOIS DE LA MARCHE","1 Route de Coulombiers","reception@hotel-poitiers-bestwestern.com","http://www.hotel-poitiers-bestwestern.com","549531010",18,"15/05/2017","Actif"
73,47.776476,1.630565,2,"HÔTEL",2,"HÔTEL LA LICORNE","1 place du Matroi","hotel.lalicorne45@orange.fr","-","238445330",72,"23/01/2013","Actif"
74,45.988915,4.716713,2,"HÔTEL",3,"HÔTEL KYRIAD VILLEFRANCHE-SUR-SAÔNE","146 RUE DE LA SOUS-PRÉFECTURE","villefranchesursaone@kyriad.fr","http://www.kyriad-villefranche-sur-saone.fr","892234813",26,"06/12/2017","Actif"
75,48.883064,2.323042,2,"HÔTEL",2,"HÔTEL DE CABOURG","5 rue du Mont-Dore","hotelcabourgparis@hotel-de-cabourg-paris.fr","www.hoteldecabourg.fr","145224123",78,"29/10/2012","Actif"
76,45.895742,6.804356,2,"RÉSIDENCE DE TOURISME",3,"LES BALCONS D'ANAITE","50 rue de l'Aiguille Verte","jev-seba@lesbalconsdanaite.com","http://www.lesbalconsdanaite.com/","450933661",15,"01/06/2016","Actif"
77,43.279702,5.390599,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE ODALYS CITY PRADO","114 RUE DU ROUET","direction.prado@odalysvacances.com","http://www.odalys-vacances.com/location-ville/provence-et-luberon/marseille/odalys-appart-hotel-prado.html","491782198",75,"06/09/2016","Actif"
78,48.623541,2.331258,2,"RÉSIDENCE DE TOURISME",1,"RÉSIDENCE CAP WEST SAINT-MICHEL-SUR-ORGE","3 bis rue d'Alembert Zone d'Activité Noue Rousseau","saintmichel@capwestresidence.fr","http://www.capwestresidence.fr/residences/saint-michel-sur-orge/","170583300",1,"24/02/2017","Actif"
79,45.089904,6.081011,2,"VILLAGE DE VACANCES",3,"CLUB MED L'ALPE HUEZ LA SARENNE","670 route de l'altiport","ahuccre01@clubmed.com","https://www.clubmed.fr/r/L'Alpe-d'Huez-la-Sarenne/y","04.76.79.75.70",25,"05/09/2017","Actif"
80,43.320123,-0.423486,2,"HÔTEL",3,"HÔTEL IBIS PAU LESCAR","Avenue Santos Dumont Rond-point route de bayonne","h1643@accor.com","http://www.accorhotels.com/fr/hotel-1643-ibis-pau-lescar/index.shtml","559629090",20,"25/04/2017","Actif"
81,43.460972,6.714735,2,"CAMPING",5,"CAMPING DE LA BAUME","3775 rue des combattants d'afrique du nord","reception@labaume-lapalmeraie.com","http://labaume-lapalmeraie.com","491198888",18,"05/10/2017","Actif"
82,44.531273,1.45993,2,"CAMPING",4,"CAMPING QUERCY VACANCES","mas de la combe","quercyvacances@wanadoo.fr","http://www.quercy-vacances.com","565368715",31,"17/10/2012","Actif"
83,45.891775,0.684033,2,"CAMPING",2,"CAMPING DE LA RIVIÈRE","LA RAMBAUDIE","christophe.derveaux@gmail.com","http://www.charente-camping.com","661484767",18,"06/07/2013","Actif"
84,47.339508,0.113909,2,"CAMPING",1,"CAMPING DES LOGES","chemin du plan d'eau, LE BOIS SEMÉ","rodguepratte@orange.fr","-","241528166",94,"21/05/2013","Actif"
85,46.454941,-1.700613,2,"CAMPING",5,"CAMPING CARAVANING LE LITTORAL","Lieu-dit Le Porteau","info@campinglelittoral.fr","http://www.campinglelittoral.fr","251220464",87,"15/09/2015","Actif"
86,44.434686,3.932461,2,"CAMPING",2,"LE MAS DES SÉDARIÈS","rue des sédariès","contact@sedaries.com","www.sedaries.com","466462520",62,"10/08/2012","Actif"
87,43.949793,4.546515,2,"CAMPING",4,"CAMPING LA SOUSTA","28 AVENUE DU PONT DE GARD","direction@lasousta.com","http://www.lasousta.com","466371280",7,"23/08/2016","Actif"
88,46.887116,-1.010779,2,"HÔTEL",3,"HÔTEL ALOÉ","99 route de cholet","info@hotel-aloe.com","http://www.hotel-aloe.com","251668030",18,"07/05/2017","Actif"
89,43.511456,5.45595,2,"HÔTEL",4,"HÔTEL NOVOTEL AIX EN PROVENCE PONT DE L'ARC FENOUILLÈRES","AVENUE ARC DE MEYRAN","h0394m@accor.com","http://www.accorhotels.com/fr/hotel-0394-novotel-aix-en-provence-pont-de-l-arc-fenouilleres/index.shtml","442160909",57,"25/04/2016","Actif"
90,44.072674,0.207795,2,"CAMPING",3,"CAMPING LE DOMAINE DE LISLEBONNE","le Bétous","contact@camping-lac-lislebonne.com","camping-lac-lislebonne.com","553656528",6,"24/07/2017","Actif"
91,51.013143,2.448584,2,"CAMPING",3,"CAMPING DU PONT À COCHONS","113 rue des pierres","camping.brasseriedupontacochon@orange.fr","www.campingdupontacochons.fr","328260304",79,"07/10/2017","Actif"
92,43.812663,-1.381801,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE DE MESSANGES ARTS ET VIE","20 ROUTE DE LA VALLéE","tlafitte@artsetvie.com","https://www.artsetvie.com/residences/residence-de-messanges-14.html","558489600",22,"19/04/2017","Actif"
93,43.453554,4.435,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE THALASSAINTES","avenue du commandant Jacques Yves COUSTEAU","ass.thalasso.snt@thalacap.com","http://www.thalacap.fr","490992222",50,"10/01/2012","Actif"
94,43.259173,2.945845,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE CÔTE CANAL","LE SOMAIL","cotecanal@odalys-vacances.com","www.odalys-vacances.com","468405660",1,"13/01/2016","Actif"
95,48.106979,-1.680691,2,"HÔTEL",3,"HÔTEL ANNE DE BRETAGNE","12 rue Tronjolly","hotelannedebretagne@wanadoo.fr","http://hotel-rennes.com","299314949",61,"24/08/2017","Actif"
96,49.758463,0.376581,2,"HÔTEL",2,"HÔTEL NORMANDY","4 AVenue GAMBETTA","info@normandy-fecamp.com","www.normandy-fecamp.com","235295511",82,"19/10/2012","Actif"
97,48.307739,6.131494,2,"HÔTEL",2,"HÔTEL LE LUTH","164 AVENUE DE CHAMIEC","hotelleluth@le-luth.fr","http://www.le-luth.fr","329371212",77,"05/11/2017","Actif"
98,45.060175,4.304603,2,"HÔTEL",2,"HÔTEL DE LA  PLAGE","RUE DE LA GRANDE FONTAINE","contact@hotel-laplage.com","http://www.hotel-laplage.com","471755838",72,"20/05/2016","Actif"
99,43.413243,6.781395,2,"HÔTEL",4,"HÔTEL BEST WESTERN LA MARINA","PORT SANTA LUCIA","h.leprince@bestwestern-lamarina.com","http://www.hotel-lamarina.fr","494953131",71,"19/10/2015","Actif"
100,48.55628,7.745621,2,"HÔTEL",3,"HÔTEL IBIS STRASBOURG LA MEINAU","222 AVENUE DE COLMAR","H6202-GM@accor.com","http://www.accorhotels.com/fr/hotel-6202-ibis-strasbourg-la-meinau/index.shtml","388403233",62,"04/01/2016","Actif"
101,47.899263,1.853898,2,"HÔTEL",2,"HÔTEL PREMIÈRE CLASSE ORLÉANS OUEST LA CHAPELLE SAINT-MESMIN","9 RUE D'AQUITAINE","orleans.lachapelle@premiereclasse.fr","http://www.premiere-classe-orleans-ouest-la-chapelle-saint-mesmin.fr/","238884447",89,"05/12/2017","Actif"
102,49.592563,-1.300913,2,"HÔTEL",3,"HÔTEL LA DEMEURE DU PERRON","1 rue Flandres-Dunkerque","hotel@demeureduperron.com","www.demeureduperron.com","233545609",55,"03/10/2014","Actif"
103,44.214905,-1.227727,2,"HÔTEL",3,"HÔTEL DU LAC","34 avenue du lac","info@hoteldulacmimizan.com","www.hoteldulacmimizan.com","558048299",60,"24/07/2013","Actif"
104,46.294994,6.786231,2,"HÔTEL",3,"HÔTEL DE L'ABBAYE","chef-lieu","Contact@hotel-abbaye-abondance.com","www.hotel-abbaye-abondance.com","450730203",28,"09/07/2017","Actif"
105,45.680494,-0.177497,2,"HÔTEL",3,"HÔTEL LIGARO","74 Grand Rue","contact@hotel-ligaro.com","www.hotel-ligaro.com","545327138",76,"03/10/2014","Actif"
106,48.874595,2.283906,2,"HÔTEL",4,"HÔTEL LA VILLA MAILLOT & SPA","143 avenue de Malakoff","resa@lavillamaillot.fr","www.lavillamaillot.fr","153645252",8,"31/07/2014","Actif"
107,48.287148,6.950059,2,"HÔTEL",2,"BAR HÔTEL DE FRANCE","1 BIS RUE DAUPHINE","-","http://www.hotel-de-france-88.fr/","329563261",96,"08/05/2013","Actif"
108,43.694689,7.257459,2,"HÔTEL",3,"HÔTEL CRONSTADT","3 rue Cronstadt","reservation@hotelcronstadt.com","http://www.hotelcronstadt.com","493820030",53,"27/03/2017","Actif"
109,47.500045,1.225456,2,"HÔTEL",3,"HOSTELLERIE LES COURONNES","domaine de la carte, route départementale 952","infos@lacarte.com.fr","www.lacarte.com.fr","02-54-20-49-00",69,"26/11/2012","Actif"
110,45.944382,-0.518531,2,"HÔTEL",2,"HÔTEL RESTAURANT DE LA PLACE","45 rue rose","paris.mail.sinclair@wanadoo.fr","http://www.hoteldelaplace.net","546326911",68,"30/08/2017","Actif"
111,46.695479,-1.832034,2,"PARC RÉSIDENTIEL DE LOISIRS",1,"LE DOMAINE DU MOULIN","58 Rue Georges Clémenceau","info@sunmarina.com","-","251543387",49,"21/12/2016","Actif"
112,43.601747,6.988753,2,"RÉSIDENCE DE TOURISME",4,"RÉSIDENCE LE CLUB MOUGINS","199 chemin du Val Fleuri","leclubmougins@diamondresorts.com","https://www.diamondresorts.com/destinations/property/Le-Club-Mougins","04.92.92.46.00",35,"24/05/2017","Actif"
113,45.165572,6.428664,2,"HÔTEL",3,"GRAND HÔTEL DE VALLOIRE ET DU GALIBIER","RUE DES GRANDES ALPES","info@grand-hotel-valloire.com","http://grand-hotel-valloire.com","479590095",86,"22/10/2016","Actif"
114,45.750473,4.826372,2,"HÔTEL",3,"HÔTEL DES REMPARTS","19 place Carnot","info@hoteldesrempartslyon.com","www.hoteldesrempartslyon.com","478420046",38,"26/04/2017","Actif"
115,48.552524,-1.506574,2,"HÔTEL",3,"HÔTEL ARIANE","50 Boulevard Clémenceau","ariane-mt-st-michel@orange.fr","http://www.ariane-mt-st-michel.com","233600384",7,"29/03/2017","Actif"
116,43.291777,6.608772,2,"HÔTEL",4,"HÔTEL VILLA LES ROSIERS","94 Chemin de Guerrevieille Beauvallon","villalesrosiers@gmail.com","http://villa-les-rosiers.com","494555520",51,"26/06/2017","Actif"
117,48.462437,7.481801,2,"HÔTEL",2,"HÔTEL DE LA CLOCHE","90 RUE DU GéNéRAL GOURAUD","hotel.lacloche@wanadoo.fr","http://www.la-cloche.com","388955289",51,"22/10/2012","Actif"
118,46.260511,6.113443,2,"RÉSIDENCE DE TOURISME",4,"RÉSIDENCE ODALYS CITY FERNEY GENÈVE","13 CHEMIN DU LEVANT","grabowski.a@odalys-vacances.com","https://www.odalys-vacances.com/location-campagne/bourgogne-et-ain/ferney-voltaire/apparthotel-et-spa-ferney-geneve.html#","442258879",94,"28/08/2017","Actif"
119,48.87239,2.344817,2,"HÔTEL",3,"HÔTEL BRÉSIL OPÉRA","23 rue bergère","direction.hbo@gmail.com","http://hotel-bresil-opera.com","147702173",44,"31/07/2017","Actif"
120,43.627052,1.380995,2,"HÔTEL",3,"HÔTEL CAMPANILE TOULOUSE BLAGNAC AÉROPORT","3 avenue Didier Daurat","campa.blagnac@wanadoo.fr","http://www.campanile-toulouse-blagnac-aeroport.fr/fr","561169090",86,"16/02/2017","Actif"
121,44.693349,5.485171,2,"CAMPING",2,"CAMPING MUNICIPAL LES CHAUSSIÈRES","Chemin du Bez","camping.chatillonendiois@wanado.fr","http://www.camping-chatillonendiois.com/","475211030",14,"07/01/2013","Actif"
122,43.416398,-1.623867,2,"CAMPING",3,"ARENA CAMPING","264 AVENUE NAPOLÉON III Quartier ACOTZ","location@arenacamping.com","http://www.arenacamping.com","559265190",23,"04/06/2017","Actif"
123,46.794692,6.298741,2,"CAMPING",3,"CAMPING LES FUVETTES","24 chemin de la plage des perrières","les-fuvettes@wanadoo.fr","http://www.camping-fuvettes.com","381693150",79,"07/06/2017","Actif"
124,43.535191,6.942993,2,"CAMPING",2,"CAMPING LES PRUNIERS","118 rue de la Pinéa","contact@bungalow-camping.com","http://www.bungalow-camping.com","493499923",62,"24/07/2017","Actif"
125,48.353159,-1.184013,2,"CAMPING",2,"CAMPING MUNICIPAL DE FOUGÈRES","Route de la Chapelle Janson","campingmunicipal35@orange.fr","www.fougeres.fr","299994081",86,"07/01/2013","Actif"
126,45.924445,6.874253,2,"HÔTEL",5,"LE HAMEAU ALBERT 1ER","38 route du bouchet","infos@hameaualbert.fr","http://www.hameaualbert.fr","450530509",79,"11/11/2016","Actif"
